variavel_codigo,variavel,valor,unidade,ano,municipio
706,Número de unidades locais,6400,Unidades,2024,Araguari (MG)
367,Número de empresas e outras organizações atuantes,6132,Unidades,2024,Araguari (MG)
707,Pessoal ocupado total,35997,Pessoas,2024,Araguari (MG)
708,Pessoal ocupado assalariado,28033,Pessoas,2024,Araguari (MG)
5944,Pessoal assalariado médio,27862.83,Pessoas,2024,Araguari (MG)
662,Salários e outras remunerações,1119914,Mil Reais,2024,Araguari (MG)
1606,Salário médio mensal,2.2,Salários mínimos,2024,Araguari (MG)
10143,Salário médio mensal em reais,3091.83,Reais,2024,Araguari (MG)
